Date, TimeImage, TimeMODIS, Luminance, COT, ClearSkyRadiationForTimeImage , ClearSkyLuminanceForTimeImage 
2015-11-23 11:15:00,2015-11-23 11:54:01,2015-11-23 11:15:00,35824.7218311,1.135,856.426289337,352264.598992
2015-11-26 11:45:00,2015-11-26 11:58:00,2015-11-26 11:45:00,43733.8771667,2.5333,918.472051852,379889.604564
2015-11-27 10:50:00,2015-11-27 10:09:40,2015-11-27 10:50:00,49592.5575522,3.7556,784.280763239,320142.815334
2015-04-25 14:50:00,2015-04-25 14:54:01,2015-04-25 14:50:00,88463.5243845,12.1633,866.634937067,356809.856219
2015-04-26 13:50:00,2015-04-26 13:58:00,2015-04-26 13:50:00,96537.1252391,9.6989,958.858503323,397871.105665
2015-04-27 14:35:00,2015-04-27 14:44:00,2015-04-27 14:35:00,52088.8457611,9.6378,889.408168615,366949.318172
2015-04-29 14:25:00,2015-04-29 14:58:01,2015-04-29 14:25:00,71923.0682347,18.1078,903.710150115,373317.074851
2015-05-03 14:00:00,2015-05-03 14:54:00,2015-05-03 14:00:00,104281.455681,12.7367,922.477893415,381673.149339
2015-05-08 14:05:00,2015-05-08 14:54:00,2015-05-08 14:05:00,105528.47084,4.3356,909.606187824,375942.202949
2015-05-11 14:35:00,2015-05-11 14:58:01,2015-05-11 14:35:00,96895.4646636,1.8078,861.362928346,354462.568275
2015-05-12 15:20:00,2015-05-12 15:50:01,2015-05-12 15:20:00,87159.7913287,1.57,749.114384535,304485.478422
2015-05-13 14:25:00,2015-05-13 14:54:00,2015-05-13 14:25:00,87948.5011659,4.94,872.628033397,359478.198307
2015-05-19 15:25:00,2015-05-19 15:58:00,2015-05-19 15:25:00,88381.3868936,3.05,727.422283688,294827.37475
2015-05-20 14:30:00,2015-05-20 14:54:01,2015-05-20 14:30:00,80607.6293724,10.8167,853.700346027,351050.910965
2015-05-21 15:15:00,2015-05-21 15:59:39,2015-05-21 15:15:00,70477.9298792,0.6,749.665043204,304730.651471
2015-05-22 14:20:00,2015-05-22 14:56:00,2015-05-22 14:20:00,86625.2968236,11.1889,867.993945367,357414.935604
2015-05-24 14:05:00,2015-05-24 14:54:00,2015-05-24 14:05:00,81180.4542138,2.8367,882.068454127,363681.413236
2015-05-25 14:50:00,2015-05-25 14:54:01,2015-05-25 14:50:00,40906.5014808,51.6622,813.148024161,332995.558398
2015-05-26 15:30:00,2015-05-26 15:50:01,2015-05-26 15:30:00,43103.4443665,10.3112,702.371297507,283673.774491
2015-05-27 14:35:00,2015-05-27 14:54:00,2015-05-27 14:35:00,80166.6394786,13.5978,835.000534973,342725.082357
2015-05-28 15:20:00,2015-05-28 15:50:01,2015-05-28 15:20:00,77934.9390448,7.1144,728.847477168,295461.922158
2015-05-31 14:10:00,2015-05-31 14:54:01,2015-05-31 14:10:00,77571.6912714,15.2878,868.884197228,357811.30776
2015-06-02 14:00:00,2015-06-02 14:54:00,2015-06-02 14:00:00,84758.4110683,4.9178,874.021469559,360098.606215
2015-06-03 14:40:00,2015-06-03 14:54:01,2015-06-03 14:40:00,64656.8511238,1.0867,818.415223134,335340.704868
2015-06-04 15:25:00,2015-06-04 15:50:00,2015-06-04 15:25:00,58891.2436508,2.7411,710.615425332,287344.356782
2015-06-05 14:30:00,2015-06-05 14:54:00,2015-06-05 14:30:00,42301.6403166,3.6378,835.628003839,343004.454069
2015-06-11 15:30:00,2015-06-11 15:22:00,2015-06-11 15:30:00,83755.1709704,4.0567,722.840017378,292787.184941
2015-06-12 14:35:00,2015-06-12 14:54:01,2015-06-12 14:35:00,78696.3071574,25.34,825.139596831,338334.637948
2015-06-13 15:20:00,2015-06-13 15:52:00,2015-06-13 15:20:00,90596.9616998,14.5456,722.270169387,292533.468115
2015-06-14 14:25:00,2015-06-14 14:54:01,2015-06-14 14:25:00,70978.2917659,14.4478,840.1700941,345026.756055
2015-06-16 14:10:00,2015-06-16 14:34:00,2015-06-16 14:10:00,96730.7979894,6.7378,859.182935511,353491.95704
2015-06-18 15:35:00,2015-06-18 15:50:00,2015-06-18 15:35:00,68233.0693412,3.74,682.15366591,274672.157573
2015-06-19 14:40:00,2015-06-19 14:54:00,2015-06-19 14:40:00,91859.3213136,3.0922,813.786725657,333279.931281
2015-06-20 15:25:00,2015-06-20 15:50:01,2015-06-20 15:25:00,78122.313949,1.36,710.673815189,287370.354047
2015-06-21 14:30:00,2015-06-21 14:54:01,2015-06-21 14:30:00,93160.6103308,3.1211,832.021225632,341398.586657
2015-06-25 14:05:00,2015-06-25 14:54:01,2015-06-25 14:05:00,103903.989328,5.6,864.339334378,355787.771317
2015-06-26 14:50:00,2015-06-26 14:54:00,2015-06-26 14:50:00,87098.5377154,4.0589,803.133416313,328536.694708
2015-06-28 14:35:00,2015-06-28 14:54:01,2015-06-28 14:35:00,89834.6877952,3.3389,826.614478545,338991.308346
2015-06-29 15:20:00,2015-06-29 15:50:01,2015-06-29 15:20:00,81547.0188524,3.3233,729.409522006,295712.16474
2015-07-02 14:10:00,2015-07-02 14:54:00,2015-07-02 14:10:00,86525.8017763,3.74,864.255436675,355750.417042
2015-07-04 15:35:00,2015-07-04 15:52:01,2015-07-04 15:35:00,75484.3727137,9.3511,696.383206099,281007.660774
2015-07-05 14:40:00,2015-07-05 14:54:01,2015-07-05 14:40:00,85164.3455039,4.9856,823.176727774,337460.698029
2015-07-06 15:25:00,2015-07-06 15:46:01,2015-07-06 15:25:00,83628.9910125,2.2456,725.603634686,294017.646788
2015-08-07 15:25:00,2015-08-07 15:28:01,2015-08-07 15:25:00,41331.4455052,33.7956,768.722124776,313215.549767
2015-08-08 14:30:00,2015-08-08 14:26:01,2015-08-08 14:30:00,95534.4782914,7.2789,886.695234003,365741.422085
2015-08-09 15:15:00,2015-08-09 15:58:00,2015-08-09 15:15:00,89452.3969027,4.6333,794.76987065,324812.943299
2015-08-10 14:20:00,2015-08-10 14:08:01,2015-08-10 14:20:00,107431.117781,3.3533,905.130973083,373949.67635
2015-08-12 14:05:00,2015-08-12 14:22:00,2015-08-12 14:05:00,45634.0412085,28.9511,923.155980409,381975.058063
2015-08-13 14:50:00,2015-08-13 14:36:00,2015-08-13 14:50:00,92850.9663078,2.235,862.36118953,354907.030067
2015-08-14 15:30:00,2015-08-14 15:02:01,2015-08-14 15:30:00,nan,2.5511,nan,nan
2015-08-15 14:35:00,2015-08-15 14:32:01,2015-08-15 14:35:00,89431.5863468,5.6878,887.805640363,366235.814943
2015-08-16 15:20:00,2015-08-16 15:04:01,2015-08-16 15:20:00,nan,6.1922,nan,nan
2015-08-17 14:25:00,2015-08-17 14:16:00,2015-08-17 14:25:00,89885.2903698,5.0887,907.372060099,374947.488913
2015-08-21 14:00:00,2015-08-21 14:22:01,2015-08-21 14:00:00,117304.892267,5.9156,938.178079282,388663.436902
2015-08-22 14:40:00,2015-08-22 14:58:00,2015-08-22 14:40:00,104466.361483,7.99,886.434917002,365625.519591
2015-08-23 15:25:00,2015-08-23 15:48:01,2015-08-23 15:25:00,60147.5162017,2.5789,780.408874665,318418.911249
2015-08-24 14:30:00,2015-08-24 14:58:01,2015-08-24 14:30:00,59322.6179044,9.84,907.028680044,374794.603759
2015-08-25 15:15:00,2015-08-25 15:52:01,2015-08-25 15:15:00,51788.610546,15.9222,809.480947009,331362.843726
2015-08-26 14:20:00,2015-08-26 14:56:01,2015-08-26 14:20:00,99393.3405322,67.7511,925.514740517,383025.26292
2015-08-28 14:05:00,2015-08-28 14:58:01,2015-08-28 14:05:00,104477.145247,8.2244,943.602713584,391078.679245
2015-09-02 14:25:00,2015-09-02 14:54:00,2015-09-02 14:25:00,878769.952623,4.3267,921.769728859,381357.849002
2015-09-04 14:10:00,2015-09-04 14:44:02,2015-09-04 14:10:00,58405.7705041,3.28,945.356853626,391859.685497
2015-09-06 15:35:00,2015-09-06 15:44:00,2015-09-06 15:35:00,281352.297309,5.855,750.095317095,304922.224886
2015-09-07 14:40:00,2015-09-07 14:52:01,2015-09-07 14:40:00,335665.574239,7.63,897.430549183,370521.170607
2015-09-08 15:25:00,2015-09-08 15:44:01,2015-09-08 15:25:00,261120.234544,6.8467,783.970935891,320004.869052
2015-09-09 14:30:00,2015-09-09 14:52:00,2015-09-09 14:30:00,70103.6089746,26.7922,918.049843913,379701.622401
2015-09-10 15:15:00,2015-09-10 15:44:01,2015-09-10 15:15:00,259288.448178,4.7322,813.090310447,332969.862176
2015-09-11 14:20:00,2015-09-11 14:52:01,2015-09-11 14:20:00,490462.823087,3.67,936.455080928,387896.29605
2015-09-13 14:05:00,2015-09-13 14:52:01,2015-09-13 14:05:00,129323.9232,4.4789,954.587457738,395969.482519
2015-09-14 14:50:00,2015-09-14 14:52:00,2015-09-14 14:50:00,294276.854891,5.99,883.096611265,364139.185781
2015-09-15 15:30:00,2015-09-15 15:44:01,2015-09-15 15:30:00,97487.1719253,38.7833,762.710547726,310538.979397
2015-09-16 14:35:00,2015-09-16 14:52:02,2015-09-16 14:35:00,31368.6371055,97.3333,911.076350365,376596.772202
2015-09-17 15:20:00,2015-09-17 15:54:01,2015-09-17 15:20:00,350068.35219,10.8589,792.821304905,323945.37173
