DayNumber,Date,Time,COT
281,2015-10-8,11:00,5.0311
282,2015-10-9,11:45,3.7
283,2015-10-10,10:50,4.2933
284,2015-10-11,11:35,5.535
285,2015-10-12,12:15,4.4367
286,2015-10-13,11:20,-99.0
287,2015-10-14,12:05,-99.0
288,2015-10-15,11:10,-99.0
289,2015-10-16,11:50,-99.0
290,2015-10-17,10:55,1.696
291,2015-10-18,11:40,4.8722
292,2015-10-19,12:20,1.8186
293,2015-10-20,11:25,2.1256
294,2015-10-21,12:10,-99.0
295,2015-10-22,11:15,7.5678
296,2015-10-23,12:00,-99.0
297,2015-10-24,11:00,34.8233
298,2015-10-25,11:45,21.1867
299,2015-10-26,10:50,97.6022
300,2015-10-27,11:35,26.7644
301,2015-10-28,12:15,10.3978
302,2015-10-29,11:20,1.658
303,2015-10-30,12:05,-99.0
304,2015-10-31,11:10,12.2789
305,2015-11-1,11:50,-99.0
306,2015-11-2,10:55,2.5089
307,2015-11-3,11:40,-99.0
308,2015-11-4,12:20,6.0367
309,2015-11-5,11:25,1.925
310,2015-11-6,12:10,-99.0
311,2015-11-7,11:15,3.3978
312,2015-11-8,12:00,-99.0
313,2015-11-9,11:00,38.1656
314,2015-11-10,11:45,8.7583
315,2015-11-11,10:50,-99.0
316,2015-11-12,11:35,1.4222
317,2015-11-13,12:15,58.5417
318,2015-11-14,11:20,0.71
319,2015-11-15,12:05,-99.0
320,2015-11-16,11:10,16.5044
321,2015-11-17,11:50,-99.0
322,2015-11-18,10:55,-99.0
323,2015-11-19,11:40,1.8789
324,2015-11-20,12:20,3.67
325,2015-11-21,11:25,2.4533
326,2015-11-22,12:10,-99.0
327,2015-11-23,11:15,1.135
328,2015-11-24,12:00,-99.0
329,2015-11-25,11:00,3.2243
330,2015-11-26,11:45,2.5333
331,2015-11-27,10:50,3.7556
332,2015-11-28,11:35,3.5712
333,2015-11-29,12:15,0.7933
334,2015-11-30,11:20,1.7325
335,2015-12-1,12:05,-99.0
336,2015-12-2,11:10,13.68
337,2015-12-3,11:50,-99.0
338,2015-12-4,10:55,3.9622
339,2015-12-5,11:40,-99.0
340,2015-12-6,12:20,3.82
341,2015-12-7,11:25,1.665
342,2015-12-8,12:10,-99.0
343,2015-12-9,11:15,3.0944
344,2015-12-10,12:00,-99.0
345,2015-12-11,11:00,7.455
346,2015-12-12,11:45,4.53
347,2015-12-13,12:25,18.9678
348,2015-12-14,11:35,8.9533
349,2015-12-15,12:15,7.2656
350,2015-12-16,11:20,22.5189
351,2015-12-17,12:05,-99.0
352,2015-12-18,11:10,5.1778
353,2015-12-19,11:50,-99.0
354,2015-12-20,10:55,-99.0
355,2015-12-21,11:40,-99.0
356,2015-12-22,12:20,-99.0
357,2015-12-23,11:25,3.0329
358,2015-12-24,12:10,-99.0
359,2015-12-25,11:15,-99.0
360,2015-12-26,11:55,-99.0
361,2015-12-27,11:00,18.9233
362,2015-12-28,11:45,3.4089
363,2015-12-29,12:25,46.0133
364,2015-12-30,11:30,6.19
365,2015-12-31,12:15,4.25
1,2015-1-1,15:15,12.4111
2,2015-1-2,14:15,14.2122
3,2015-1-3,15:00,12.4033
4,2015-1-4,14:05,3.57
5,2015-1-5,14:50,3.2478
6,2015-1-6,15:30,-99.0
7,2015-1-7,14:35,87.1467
8,2015-1-8,15:20,-99.0
9,2015-1-9,14:25,10.3267
10,2015-1-10,15:05,85.9143
11,2015-1-11,14:10,5.2144
12,2015-1-12,14:55,3.7311
13,2015-1-13,14:00,-99.0
14,2015-1-14,14:40,6.79
15,2015-1-15,15:25,-99.0
16,2015-1-16,14:30,20.8383
17,2015-1-17,15:15,3.618
18,2015-1-18,14:20,-99.0
19,2015-1-19,15:00,1.9167
20,2015-1-20,14:05,3.6878
21,2015-1-21,14:50,9.3589
22,2015-1-22,15:30,-99.0
23,2015-1-23,14:35,4.7611
24,2015-1-24,15:20,-99.0
25,2015-1-25,14:25,4.5056
26,2015-1-26,15:05,28.2622
27,2015-1-27,14:10,12.448
28,2015-1-28,14:55,16.09
29,2015-1-29,15:35,12.3989
30,2015-1-30,14:40,5.94
31,2015-1-31,15:25,-99.0
32,2015-2-1,14:15,2.18
33,2015-2-2,15:00,-99.0
34,2015-2-3,14:05,13.2067
35,2015-2-4,14:50,8.3989
36,2015-2-5,13:50,12.5767
37,2015-2-6,14:35,12.5089
38,2015-2-7,15:20,-99.0
39,2015-2-8,14:25,6.4914
40,2015-2-9,15:05,-99.0
41,2015-2-10,14:10,8.9744
42,2015-2-11,14:55,10.0322
43,2015-2-12,14:00,6.8244
44,2015-2-13,14:40,46.0033
45,2015-2-14,15:25,11.54
46,2015-2-15,14:30,8.8
47,2015-2-16,15:10,-99.0
48,2015-2-17,14:15,6.9967
49,2015-2-18,15:00,-99.0
50,2015-2-19,14:05,6.8133
51,2015-2-20,14:50,9.7989
52,2015-2-21,13:50,3.5311
53,2015-2-22,14:35,29.7225
54,2015-2-23,15:20,-99.0
55,2015-2-24,14:25,8.2856
56,2015-2-25,15:05,-99.0
57,2015-2-26,14:10,2.9778
58,2015-2-27,14:55,8.2025
59,2015-2-28,14:00,1.9875
60,2015-3-1,14:40,6.5967
61,2015-3-2,15:25,2.4433
62,2015-3-3,14:30,6.7833
63,2015-3-4,15:15,-99.0
64,2015-3-5,14:15,6.5
65,2015-3-6,15:00,19.6989
66,2015-3-7,14:05,6.2022
67,2015-3-8,14:50,3.4989
68,2015-3-9,13:50,14.2814
69,2015-3-10,14:35,6.37
70,2015-3-11,15:20,-99.0
71,2015-3-12,14:25,9.66
72,2015-3-13,15:05,-99.0
73,2015-3-14,14:10,14.6389
74,2015-3-15,14:55,6.9189
75,2015-3-16,14:00,5.4525
76,2015-3-17,14:40,7.71
77,2015-3-18,15:25,-99.0
78,2015-3-19,14:30,5.8944
79,2015-3-20,15:10,-99.0
80,2015-3-21,14:15,5.175
81,2015-3-22,15:00,-99.0
82,2015-3-23,14:05,4.4944
83,2015-3-24,14:50,7.0522
84,2015-3-25,13:50,1.5611
85,2015-3-26,14:35,5.7167
86,2015-3-27,15:20,-99.0
87,2015-3-28,14:25,4.1822
88,2015-3-29,15:05,-99.0
89,2015-3-30,14:10,15.4887
90,2015-3-31,14:55,17.1467
91,2015-4-1,14:00,9.3371
92,2015-4-2,14:40,25.9122
93,2015-4-3,15:25,9.7644
94,2015-4-4,14:30,4.1929
95,2015-4-5,15:10,-99.0
96,2015-4-6,14:15,8.4878
97,2015-4-7,15:00,15.5533
98,2015-4-8,14:05,3.8678
99,2015-4-9,14:50,7.8578
100,2015-4-10,13:50,6.7244
101,2015-4-11,14:35,27.82
102,2015-4-12,15:20,-99.0
103,2015-4-13,14:25,7.2557
104,2015-4-14,15:05,-99.0
105,2015-4-15,14:10,3.6778
106,2015-4-16,14:55,2.15
107,2015-4-17,14:00,-99.0
108,2015-4-18,14:40,6.9044
109,2015-4-19,15:25,-99.0
110,2015-4-20,14:30,-99.0
111,2015-4-21,15:10,-99.0
112,2015-4-22,14:15,4.6812
113,2015-4-23,15:00,82.0133
114,2015-4-24,14:05,3.2322
115,2015-4-25,14:50,12.1633
116,2015-4-26,13:50,9.6989
117,2015-4-27,14:35,9.6378
118,2015-4-28,15:20,-99.0
119,2015-4-29,14:25,18.1078
120,2015-4-30,15:05,-99.0
121,2015-5-1,14:10,9.0322
122,2015-5-2,14:55,4.15
123,2015-5-3,14:00,12.7367
124,2015-5-4,14:30,-99.0
125,2015-5-5,15:15,-99.0
126,2015-5-6,14:20,-99.0
127,2015-5-7,15:00,-99.0
128,2015-5-8,14:05,4.3356
129,2015-5-9,14:50,1.0125
130,2015-5-10,15:30,3.4643
131,2015-5-11,14:35,1.8078
132,2015-5-12,15:20,1.57
133,2015-5-13,14:25,4.94
134,2015-5-14,15:05,-99.0
135,2015-5-15,14:10,56.85
136,2015-5-16,14:55,-99.0
137,2015-5-17,15:35,3.072
138,2015-5-18,14:40,2.6633
139,2015-5-19,15:25,3.05
140,2015-5-20,14:30,10.8167
141,2015-5-21,15:15,0.6
142,2015-5-22,14:20,11.1889
143,2015-5-23,15:00,-99.0
144,2015-5-24,14:05,2.8367
145,2015-5-25,14:50,51.6622
146,2015-5-26,15:30,10.3112
147,2015-5-27,14:35,13.5978
148,2015-5-28,15:20,7.1144
149,2015-5-29,14:25,-99.0
150,2015-5-30,15:05,-99.0
